the_geom,cartodb_id,pname,date,year,longitude,latitude,state,county,cnumber
0101000020E61000002158552F3F3E52C0CDD4DAEA28CE4540,44,Jack Delano,1941-09-01 00:00:00+00,1941,-72.9726065,43.6106237,Vermont,Rutland County,fsa1992000060/PP
0101000020E61000002158552F3F3E52C0CDD4DAEA28CE4540,45,Jack Delano,1941-09-01 00:00:00+00,1941,-72.9726065,43.6106237,Vermont,Rutland County,fsa1992000061/PP
0101000020E61000002158552F3F3E52C0CDD4DAEA28CE4540,46,Jack Delano,1941-09-01 00:00:00+00,1941,-72.9726065,43.6106237,Vermont,Rutland County,fsa1992000062/PP
0101000020E61000002158552F3F3E52C0CDD4DAEA28CE4540,47,Jack Delano,1941-09-01 00:00:00+00,1941,-72.9726065,43.6106237,Vermont,Rutland County,fsa1992000063/PP
0101000020E61000002158552F3F3E52C0CDD4DAEA28CE4540,48,Jack Delano,1941-09-01 00:00:00+00,1941,-72.9726065,43.6106237,Vermont,Rutland County,fsa1992000064/PP
0101000020E610000030DFB023C40051C08CFFF114286E4740,49,Jack Delano,1940-10-01 00:00:00+00,1940,-68.0119714,46.8605982,Maine,Aroostook County,fsa1992000065/PP
0101000020E610000009997510050C51C0C8D34DBDC9304740,50,Jack Delano,1940-10-01 00:00:00+00,1940,-68.1878091,46.3811566,Maine,Aroostook County,fsa1992000066/PP
0101000020E610000009997510050C51C0C8D34DBDC9304740,51,Jack Delano,1940-10-01 00:00:00+00,1940,-68.1878091,46.3811566,Maine,Aroostook County,fsa1992000067/PP
0101000020E610000009997510050C51C0C8D34DBDC9304740,52,Jack Delano,1940-10-01 00:00:00+00,1940,-68.1878091,46.3811566,Maine,Aroostook County,fsa1992000068/PP
0101000020E6100000429D4DA2392651C0BB6E00EC92904740,53,Jack Delano,1940-10-01 00:00:00+00,1940,-68.5972677,47.1294837,Maine,Aroostook County,fsa1992000069/PP
0101000020E610000009997510050C51C0C8D34DBDC9304740,54,Jack Delano,1940-10-01 00:00:00+00,1940,-68.1878091,46.3811566,Maine,Aroostook County,fsa1992000070/PP
0101000020E610000009997510050C51C0C8D34DBDC9304740,55,Jack Delano,1940-10-01 00:00:00+00,1940,-68.1878091,46.3811566,Maine,Aroostook County,fsa1992000071/PP
0101000020E6100000F5B814FCDBFB50C0D725F44421944740,56,Jack Delano,1940-10-01 00:00:00+00,1940,-67.9353018,47.1572653,Maine,Aroostook County,fsa1992000072/PP
0101000020E610000030DFB023C40051C08CFFF114286E4740,57,Jack Delano,1940-10-01 00:00:00+00,1940,-68.0119714,46.8605982,Maine,Aroostook County,fsa1992000073/PP
