cnumber,cnumber2,ptype,pname,month,year,VAN0,VAN1,VAN2,lotnum,city,county,state,country,longitude,latitude,fips,title,thumb_url,small_url,large_url
fsa1998007654/PP,LC-USF33-020821,M3,Jack Delano,4,1941,Work,Forest Products,Turpentine,1543,Pembroke,Bryan County,Georgia,United States,-81.6220566,32.1360332,13029,"Pulling operation of a four-year face in a turpentine grove near Pembroke, Georgia",thumb/0360/0365/8a35245_150px.jpg,small/0360/0365/8a35245r.jpg,large/0360/0365/8a35245v.jpg
fsa1998007655/PP,LC-USF33-020821,M4,Jack Delano,4,1941,Work,Forest Products,Turpentine,1543,Pembroke,Bryan County,Georgia,United States,-81.6220566,32.1360332,13029,"A &quot;hack&quot; used in chipping turpentine in a turpentine grove near Pembroke, Georgia",thumb/0360/0365/8a35246_150px.jpg,small/0360/0365/8a35246r.jpg,large/0360/0365/8a35246v.jpg
fsa1998007659/PP,LC-USF33-020822,M3,Jack Delano,4,1941,Work,Processing and Manufacturing,Turpentine and Rosin,1543,Pembroke,Bryan County,Georgia,United States,-81.6220566,32.1360332,13029,"Cleaning turpentine cups in boiling water at a still near Pembroke, Georgia",thumb/0360/0365/8a35250_150px.jpg,small/0360/0365/8a35250r.jpg,large/0360/0365/8a35250v.jpg
fsa1998007661/PP,LC-USF33-020823,M1,Jack Delano,4,1941,War,Servicemen on Leave,Servicemen on Leave,1574,Hinesville,Liberty County,Georgia,United States,-81.5959453,31.846877,13179,"Soldiers from Camp Stewart, on Saturday afternoon in Hinesville, Georgia",thumb/0360/0365/8a35252_150px.jpg,small/0360/0365/8a35252r.jpg,large/0360/0365/8a35252v.jpg
fsa1998007663/PP,LC-USF33-020823,M3,Jack Delano,4,1941,Social and Personal Activity,General,Photography as a Hobby,1574,Hinesville,Liberty County,Georgia,United States,-81.5959453,31.846877,13179,"Taking pictures on the courthouse steps on a Saturday afternoon in Hinesville, Georgia",thumb/0360/0365/8a35254_150px.jpg,small/0360/0365/8a35254r.jpg,large/0360/0365/8a35254v.jpg
fsa1998007664/PP,LC-USF33-020823,M4,Jack Delano,4,1941,Work,Services,Postal Service,1574,Hinesville,Liberty County,Georgia,United States,-81.5959453,31.846877,13179,"Waiting for the mail at the post office in Hinesville, Georgia",thumb/0360/0365/8a35255_150px.jpg,small/0360/0365/8a35255r.jpg,large/0360/0365/8a35255v.jpg
fsa1998007666/PP,LC-USF33-020824,M1,Jack Delano,4,1941,Work,Processing and Manufacturing,Turpentine and Rosin,1543,Statesboro,Bulloch County,Georgia,United States,-81.7831674,32.4487877,13031,"Paper sacks of rosin laid out to harden at a turpentine works in Statesboro, Georgia",thumb/0360/0365/8a35257_150px.jpg,small/0360/0365/8a35257r.jpg,large/0360/0365/8a35257v.jpg
fsa1998007668/PP,LC-USF33-020824,M3,Jack Delano,4,1941,Work,Processing and Manufacturing,Turpentine and Rosin,1543,Statesboro,Bulloch County,Georgia,United States,-81.7831674,32.4487877,13031,"Filling paper sacks with hot rosin at a turpentine works in Statesboro, Georgia",thumb/0360/0365/8a35259_150px.jpg,small/0360/0365/8a35259r.jpg,large/0360/0365/8a35259v.jpg
fsa1998007669/PP,LC-USF33-020824,M4,Jack Delano,4,1941,Work,Processing and Manufacturing,Turpentine and Rosin,1543,Statesboro,Bulloch County,Georgia,United States,-81.7831674,32.4487877,13031,"Filling paper sacks with hot rosin at a turpentine works in Statesboro, Georgia",thumb/0360/0365/8a35260_150px.jpg,small/0360/0365/8a35260r.jpg,large/0360/0365/8a35260v.jpg
fsa1998007670/PP,LC-USF33-020824,M5,Jack Delano,4,1941,Work,Forest Products,Turpentine,1543,Statesboro,Bulloch County,Georgia,United States,-81.7831674,32.4487877,13031,"Emptying the turpentine dups full of rosin into a bucket near a turpentine still in Pembroke, Georgia",thumb/0360/0365/8a35261_150px.jpg,small/0360/0365/8a35261r.jpg,large/0360/0365/8a35261v.jpg
fsa1998007671/PP,LC-USF33-020825,M1,Jack Delano,4,1941,Work,Processing and Manufacturing,Turpentine and Rosin,1543,Statesboro,Bulloch County,Georgia,United States,-81.7831674,32.4487877,13031,"Filtering hot rosin through sieves at a turpentine works in Statesboro, Georgia",thumb/0360/0365/8a35262_150px.jpg,small/0360/0365/8a35262r.jpg,large/0360/0365/8a35262v.jpg
fsa1998007673/PP,LC-USF33-020825,M3,Jack Delano,4,1941,Work,Processing and Manufacturing,Turpentine and Rosin,1543,Statesboro,Bulloch County,Georgia,United States,-81.7831674,32.4487877,13031,"Filtering hot rosin through sieves at a turpentine works in Statesboro, Georgia",thumb/0360/0365/8a35264_150px.jpg,small/0360/0365/8a35264r.jpg,large/0360/0365/8a35264v.jpg
fsa1998007675/PP,LC-USF33-020825,M5,Jack Delano,4,1941,Work,Processing and Manufacturing,Turpentine and Rosin,1543,Statesboro,Bulloch County,Georgia,United States,-81.7831674,32.4487877,13031,"Laying out bags of hot rosin to harden at a turpentine works in Statesboro, Georgia",thumb/0360/0365/8a35266_150px.jpg,small/0360/0365/8a35266r.jpg,large/0360/0365/8a35266v.jpg
fsa1998007678/PP,LC-USF33-020826,M3,Jack Delano,4,1941,Work,Processing and Manufacturing,Turpentine and Rosin,1543,Statesboro,Bulloch County,Georgia,United States,-81.7831674,32.4487877,13031,"Tapping the furnace of hot rosin at a turpentine works in Statesboro, Georgoa",thumb/0360/0365/8a35269_150px.jpg,small/0360/0365/8a35269r.jpg,large/0360/0365/8a35269v.jpg
fsa1998007680/PP,LC-USF33-020827,M1,Jack Delano,4,1941,Transportation,Road Transport,Moving Household Goods,1535,Pacolet,Spartanburg County,South Carolina,United States,-81.7617679,34.8990182,45083,"Cow watching her owners move into their new prefabricated house from the Camp Croft area. Pacolet, South Carolina",thumb/0360/0365/8a35271_150px.jpg,small/0360/0365/8a35271r.jpg,large/0360/0365/8a35271v.jpg
fsa1998007682/PP,LC-USF33-020827,M3,Jack Delano,4,1941,Transportation,Road Transport,Moving Household Goods,1536,Pacolet,Spartanburg County,South Carolina,United States,-81.7617679,34.8990182,45083,"Moving into a new prefabricated house at the FSA (Farm Security Administration) project in Pacolet, South Carolina",thumb/0360/0365/8a35273_150px.jpg,small/0360/0365/8a35273r.jpg,large/0360/0365/8a35273v.jpg
fsa1998007686/PP,LC-USF33-020828,M4,Jack Delano,5,1941,NA,NA,NA,1564,NA,Heard County,Georgia,United States,-85.259598,33.4070093,13149,"This seventy-nine year old woman plans to go to Tennessee to live with one of her children there. Eight of her children have left their home in Heard County. Southern section of Heard County, Georgia",thumb/0360/0365/8a35277_150px.jpg,small/0360/0365/8a35277r.jpg,large/0360/0365/8a35277v.jpg
fsa1998007688/PP,LC-USF33-020829,M1,Jack Delano,5,1941,Work,Forest Products,"Lumbering, Forest Products",1567,NA,Heard County,Georgia,United States,-85.259598,33.4070093,13149,"Hauling lumber, Heard County, Georgia",thumb/0360/0365/8a35279_150px.jpg,small/0360/0365/8a35279r.jpg,large/0360/0365/8a35279v.jpg
fsa1998007689/PP,LC-USF33-020829,M2,Jack Delano,5,1941,Work,Forest Products,Sawmills,1567,NA,Heard County,Georgia,United States,-85.259598,33.4070093,13149,"Sawmill in Heard County, Georgia",thumb/0360/0365/8a35280_150px.jpg,small/0360/0365/8a35280r.jpg,large/0360/0365/8a35280v.jpg
fsa1998007690/PP,LC-USF33-020829,M3,Jack Delano,5,1941,Work,Forest Products,Sawmills,1567,NA,Heard County,Georgia,United States,-85.259598,33.4070093,13149,"A sawmill in Heard County, Georgia",thumb/0360/0365/8a35281_150px.jpg,small/0360/0365/8a35281r.jpg,large/0360/0365/8a35281v.jpg
fsa1998007691/PP,LC-USF33-020829,M4,Jack Delano,5,1941,Work,Forest Products,Sawmills,1567,NA,Heard County,Georgia,United States,-85.259598,33.4070093,13149,"A sawmill in Heard County, Georgia",thumb/0360/0365/8a35282_150px.jpg,small/0360/0365/8a35282r.jpg,large/0360/0365/8a35282v.jpg
fsa1998007692/PP,LC-USF33-020829,M5,Jack Delano,5,1941,Work,Forest Products,Sawmills,1567,NA,Heard County,Georgia,United States,-85.259598,33.4070093,13149,"A sawmill in Heard County, Georgia",thumb/0360/0365/8a35283_150px.jpg,small/0360/0365/8a35283r.jpg,large/0360/0365/8a35283v.jpg
fsa1998007693/PP,LC-USF33-020830,M1,Jack Delano,5,1941,People As Such,Groups and Individuals,Old Men,1565,Franklin,Heard County,Georgia,United States,-83.106818,34.4359361,13149,"Mr. McCutchins, editor of the local newspaper in Franklin, Heard County, Georgia",thumb/0360/0365/8a35284_150px.jpg,small/0360/0365/8a35284r.jpg,large/0360/0365/8a35284v.jpg
fsa1998007695/PP,LC-USF33-020830,M3,Jack Delano,5,1941,Work,Services,Barbers Shops,1564,Centralhatchee,Heard County,Georgia,United States,-85.103554,33.3690046,13149,"Mr. J.H. Parham, barber and notary public in Centralhatchee, Heard County, Georgia",thumb/0360/0365/8a35286_150px.jpg,small/0360/0365/8a35286r.jpg,large/0360/0365/8a35286v.jpg
fsa1998007696/PP,LC-USF33-020830,M4,Jack Delano,5,1941,Work,Services,Barbers Shops,1564,Centralhatchee,Heard County,Georgia,United States,-85.103554,33.3690046,13149,"Mr. J.H. Parham, barber and notary public in Centralhatchee, Heard County, Georgia",thumb/0360/0365/8a35287_150px.jpg,small/0360/0365/8a35287r.jpg,large/0360/0365/8a35287v.jpg
fsa1998007701/PP,LC-USF33-020831,M4,Jack Delano,5,1941,Work,Processing and Manufacturing,Manufacturing and Processing Industry,1565,Franklin,Heard County,Georgia,United States,-83.106818,34.4359361,13149,"Setting type in the local newspaper office in Franklin, Heard County, Georgia",thumb/0360/0365/8a35292_150px.jpg,small/0360/0365/8a35292r.jpg,large/0360/0365/8a35292v.jpg
fsa1998007703/PP,LC-USF33-020832,M1,Jack Delano,5,1941,Work,Processing and Manufacturing,Manufacturing and Processing Industry,1565,Franklin,Heard County,Georgia,United States,-83.106818,34.4359361,13149,"Editor, Mr. McCutchins, in his News and Banner office, Franklin, Heard County, Georgia",thumb/0360/0365/8a35294_150px.jpg,small/0360/0365/8a35294r.jpg,large/0360/0365/8a35294v.jpg
fsa1998007704/PP,LC-USF33-020832,M2,Jack Delano,5,1941,People As Such,Groups and Individuals,Old Men,1565,Franklin,Heard County,Georgia,United States,-83.106818,34.4359361,13149,"Mr. McCutchins, editor of the News and Banner, office, Franklin, Heard County, Georgia",thumb/0360/0365/8a35295_150px.jpg,small/0360/0365/8a35295r.jpg,large/0360/0365/8a35295v.jpg
fsa1998007708/PP,LC-USF33-020833,M1,Jack Delano,5,1941,Social and Personal Activity,"Ceremonies, Organized Gatherings",Funerals,1568,NA,Heard County,Georgia,United States,-85.259598,33.4070093,13149,"Funeral of nineteen year old Negro sawmill worker in Heard County, Georgia",thumb/0360/0365/8a35299_150px.jpg,small/0360/0365/8a35299r.jpg,large/0360/0365/8a35299v.jpg
